timestamp,open,high,low,close,volume
1770090900000,78536.1,78874.9,78528.0,78710.7,1708.526
1770091200000,78710.7,78740.7,78591.5,78606.3,1003.181
1770091500000,78606.3,78623.8,78499.9,78577.1,383.292
1770091800000,78577.2,78760.3,78577.2,78724.6,310.47
1770092100000,78724.6,78731.0,78537.6,78574.5,266.868
1770092400000,78574.5,78670.6,78532.5,78532.6,148.962
1770092700000,78532.5,78539.4,78431.5,78471.1,396.628
1770093000000,78471.2,78604.7,78462.9,78565.1,367.706
1770093300000,78565.0,78718.8,78552.5,78705.5,673.019
1770093600000,78705.5,78967.9,78701.6,78949.2,1161.945
1770093900000,78949.2,78961.0,78840.3,78876.6,550.065
1770094200000,78876.6,78923.3,78767.7,78793.3,216.949
1770094500000,78793.3,78829.5,78751.9,78767.4,173.864
1770094800000,78767.5,78775.7,78656.0,78656.0,218.481
1770095100000,78656.0,78757.7,78656.0,78726.4,233.252
1770095400000,78726.4,78770.0,78466.7,78468.0,415.578
1770095700000,78468.1,78489.4,78247.5,78290.1,734.39
1770096000000,78290.0,78457.1,78244.8,78395.8,328.05
1770096300000,78395.8,78426.1,78354.3,78392.9,163.542
1770096600000,78392.8,78452.3,78370.0,78417.7,218.501
1770096900000,78417.8,78463.5,78365.0,78376.8,206.432
1770097200000,78376.7,78425.7,78271.8,78330.9,363.461
1770097500000,78330.9,78462.5,78305.8,78434.9,220.922
1770097800000,78434.9,78435.0,78328.6,78344.2,145.481
1770098100000,78344.2,78361.2,78183.8,78202.9,357.643
1770098400000,78202.8,78280.8,78150.0,78203.9,437.871
1770098700000,78203.8,78203.8,77900.1,78010.9,1495.496
1770099000000,78010.9,78094.5,77986.5,78030.1,476.789
1770099300000,78030.1,78308.3,78001.2,78279.6,588.784
1770099600000,78279.5,78373.3,78220.9,78320.4,660.743
1770099900000,78320.5,78619.8,78320.4,78522.8,827.915
1770100200000,78522.7,78536.9,78431.2,78536.9,316.296
1770100500000,78536.9,78597.5,78410.9,78414.7,293.056
1770100800000,78414.6,78520.7,78387.2,78428.7,267.563
1770101100000,78428.6,78635.0,78428.6,78527.8,301.48
1770101400000,78527.9,78576.6,78485.9,78539.0,282.549
1770101700000,78539.0,78577.2,78473.9,78557.3,233.163
1770102000000,78557.4,78585.3,78448.1,78507.0,139.682
1770102300000,78507.0,78770.0,78507.0,78755.4,450.008
1770102600000,78755.4,78864.1,78709.6,78709.6,856.908
1770102900000,78709.6,78773.8,78561.5,78617.2,345.446
1770103200000,78617.2,78700.0,78602.9,78630.4,272.656
1770103500000,78630.3,78729.0,78604.8,78634.6,396.138
1770103800000,78634.7,78843.4,78600.0,78816.8,407.967
1770104100000,78816.8,78898.9,78754.2,78807.4,399.851
1770104400000,78807.4,78812.0,78728.0,78801.6,251.936
1770104700000,78801.6,78813.0,78748.5,78794.9,256.528
1770105000000,78795.0,78822.9,78685.2,78716.0,299.184
1770105300000,78716.0,78775.2,78669.2,78749.9,343.806
1770105600000,78750.0,78889.7,78656.1,78758.9,510.931
1770105900000,78758.9,78773.5,78647.3,78670.2,335.441
1770106200000,78670.3,78670.3,78432.7,78458.8,496.087
1770106500000,78458.8,78712.2,78426.0,78670.3,374.909
1770106800000,78670.2,78791.2,78604.0,78784.8,274.39
1770107100000,78784.7,78948.2,78780.0,78846.7,616.366
1770107400000,78846.7,78924.4,78750.0,78847.9,333.205
1770107700000,78848.0,79049.0,78842.4,78944.4,895.643
1770108000000,78944.3,78995.0,78900.0,78969.7,348.652
1770108300000,78969.8,78975.0,78829.7,78850.3,290.625
1770108600000,78850.4,78852.5,78686.2,78690.0,233.423
1770108900000,78690.0,78727.0,78642.1,78708.7,283.714
1770109200000,78708.7,78795.6,78657.7,78691.7,282.509
1770109500000,78691.7,78803.6,78683.5,78683.5,207.01
1770109800000,78683.5,78683.6,78104.4,78139.0,3490.858
1770110100000,78139.0,78312.5,77983.3,78288.9,2083.773
1770110400000,78288.9,78337.6,77977.1,78015.2,701.252
1770110700000,78015.1,78059.0,77917.8,77920.0,792.275
1770111000000,77919.9,78175.7,77900.0,78169.2,1099.07
1770111300000,78169.2,78331.4,78169.2,78236.4,579.734
1770111600000,78235.3,78373.2,78217.0,78265.1,275.343
1770111900000,78265.1,78312.0,78166.6,78200.0,281.759
1770112200000,78199.9,78406.0,78197.4,78331.2,495.96
1770112500000,78331.3,78413.8,78322.5,78351.5,264.479
1770112800000,78351.4,78483.6,78295.0,78418.6,328.483
1770113100000,78418.7,78507.8,78388.2,78507.8,239.295
1770113400000,78507.8,78520.0,78446.8,78491.1,243.251
1770113700000,78491.2,78520.0,78379.6,78408.7,266.311
1770114000000,78408.7,78456.0,78353.3,78429.3,289.701
1770114300000,78429.3,78458.4,78403.7,78422.5,145.723
1770114600000,78422.6,78422.6,78120.5,78131.9,478.952
1770114900000,78131.9,78244.3,78080.0,78204.8,411.192
1770115200000,78204.8,78208.9,78088.0,78118.8,286.646
